Pop	Type	Sex	Spec	SL
Mud	Lake	F	31	44.41
Mud	Lake	F	32	55.49
Mud	Lake	F	33	52.335
Mud	Lake	F	34	43.825
Mud	Lake	F	35	41.87
Mud	Lake	F	36	43.87
Mud	Lake	F	37	42.93
Mud	Lake	F	38	47.255
Mud	Lake	F	39	44.4
Mud	Lake	F	40	46.795
Mud	Lake	F	41	41.86
Mud	Lake	F	42	48.36
Mud	Lake	F	43	41.23
Mud	Lake	F	44	45.705
Mud	Lake	F	45	42.105
Mud	Lake	F	46	41.005
Mud	Lake	F	47	45.575
Mud	Lake	F	48	43.485
Mud	Lake	F	49	48.005
Mud	Lake	F	50	46.98
Mud	Lake	F	51	44.45
Mud	Lake	F	52	42.56
Mud	Lake	F	53	43.885
Mud	Lake	F	54	42.565
Mud	Lake	F	55	42.58
Mud	Lake	F	56	37.95
Mud	Lake	F	57	47.725
Mud	Lake	F	58	41.635
Mud	Lake	F	59	44.07
Mud	Lake	F	60	45.245
Mud	Lake	F	61	53.965
Mud	Lake	F	62	48.035
Mud	Lake	F	63	46.085
Mud	Lake	F	64	49.04
Mud	Lake	F	65	44.34
Mud	Lake	F	66	44.42
Mud	Lake	F	67	42.47
Mud	Lake	F	68	44.6
Mud	Lake	F	69	50.02
Mud	Lake	F	70	46.37
Mud	Lake	F	71	41.85
Mud	Lake	F	72	49.05
Mud	Lake	F	73	44.57
Mud	Lake	F	74	50.12
Mud	Lake	F	75	45.58
Mud	Lake	F	76	46.855
Mud	Lake	F	77	43.945
Mud	Lake	F	78	44.05
Mud	Lake	F	79	45.69
Mud	Lake	F	80	46.89
Mud	Lake	F	81	43.665
Mud	Lake	F	82	45.56
Mud	Lake	F	83	48.055
Mud	Lake	F	84	48.685
Mud	Lake	F	85	47.095
Mud	Lake	F	86	45.195
Mud	Lake	F	87	42.8
Mud	Lake	F	88	36.525
Mud	Lake	F	89	45.355
Mud	Lake	F	90	43.44
BP	Lake	M	1	41.65
BP	Lake	M	2	42.895
BP	Lake	M	3	39.22
BP	Lake	M	4	42.8
BP	Lake	M	5	40.5
BP	Lake	M	6	40.52
BP	Lake	M	7	42.95
BP	Lake	M	8	42.125
BP	Lake	M	9	42.37
BP	Lake	M	10	42.625
BP	Lake	M	11	42.945
BP	Lake	M	12	40.125
BP	Lake	M	13	40.04
BP	Lake	M	14	40.295
BP	Lake	M	15	39.33
BP	Lake	M	16	42.09
BP	Lake	M	17	40.385
BP	Lake	M	18	40.92
BP	Lake	M	19	41.575
BP	Lake	M	20	42.14
BP	Lake	M	21	40.915
BP	Lake	M	22	41.995
BP	Lake	M	23	39.99
BP	Lake	M	24	42.78
BP	Lake	M	25	38.385
BP	Lake	M	26	40.38
BP	Lake	M	27	41.92
BP	Lake	M	28	40.495
BP	Lake	M	29	39.145
BP	Lake	M	30	42.42
BP	Lake	M	31	38.78
BP	Lake	M	32	39.925
BP	Lake	M	33	40.455
BP	Lake	M	34	42.535
BP	Lake	M	35	41.34
BP	Lake	M	36	41.33
BP	Lake	M	37	40.845
BP	Lake	M	38	38.655
BP	Lake	M	39	39.58
BP	Lake	M	40	40.13
BP	Lake	M	41	38.135
BP	Lake	M	42	37.37
BP	Lake	M	43	39.075
BP	Lake	M	44	40.785
BP	Lake	M	45	40.11
BP	Lake	M	46	39.99
BP	Lake	M	47	40.315
BP	Lake	M	48	39.66
BP	Lake	M	49	42.67
BP	Lake	M	50	37.615
BP	Lake	F	1	41.755
BP	Lake	F	2	44.925
BP	Lake	F	3	38.8
BP	Lake	F	4	46.035
BP	Lake	F	5	43.62
BP	Lake	F	6	43.425
BP	Lake	F	7	41.905
BP	Lake	F	8	38.765
BP	Lake	F	9	41.63
BP	Lake	F	10	39.515
BP	Lake	F	11	42.53
BP	Lake	F	12	45.555
BP	Lake	F	13	43.03
BP	Lake	F	14	44.12
BP	Lake	F	15	44.07
BP	Lake	F	16	41.49
BP	Lake	F	17	41.225
BP	Lake	F	18	39.995
BP	Lake	F	19	43.045
BP	Lake	F	20	43.015
BP	Lake	F	21	41.19
BP	Lake	F	22	42.43
BP	Lake	F	23	39.765
BP	Lake	F	24	40.105
BP	Lake	F	25	41.84
BP	Lake	F	26	42.245
BP	Lake	F	27	41.34
BP	Lake	F	28	40.86
BP	Lake	F	29	40
BP	Lake	F	30	40.435
BP	Lake	F	31	41.955
BP	Lake	F	32	39.17
BP	Lake	F	33	40.325
BP	Lake	F	34	42.22
BP	Lake	F	35	38.895
BP	Lake	F	36	39.58
BP	Lake	F	37	41.335
